,"GO:0005741,mitochondrial outer membrane","GO:0005740,mitochondrial envelope","GO:0005758,mitochondrial intermembrane space","GO:0098798,mitochondrial protein complex","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098799,outer mitochondrial membrane protein complex","GO:0031966,mitochondrial membrane","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0005654,nucleoplasm","GO:0030479, actin cortical patch","Cdc28, goldstandard_hits","GO:0005618, cell wall "," GO:0006974, cellular response to DNA damage stimulus","GO:0010494, cytoplasmic stress granule","GO:0005576, extracellular region","GO:0035556, intracellular signal transduction","inviable, yeast","Mitchell2012, parkermrnps","GO:0005743, mitochondrial inner membrane","GO:0005759, mitochondrial matrix","GO:0005739, mitochondrion","GO:0003729, mRNA binding","GO:0005643, nuclear pore","GO:0005730, nucleolus","GO:0000932, P body","GO:0004672, protein kinase activity","respiratory, growth  decreased rate","GO:0042254, ribosome biogenesis","RNA accumulation, increased","GO:0006364, rRNA processing","GO:0043565, sequence specific DNA binding","Wallace2015, heatagg"
REP_SG2,NA,NA,NA,NA,NA,3.50255181263141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9046457643475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REP_SR2,-0.423640452119531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RK_ratio,-1.38182685504071,NA,NA,NA,NA,-1.59254769742119,NA,NA,NA,NA,0.890474293919172,NA,-2.77139664572432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.01930330449934,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCD,NA,NA,1.30663445168236,NA,NA,NA,2.04218447756143,NA,NA,NA,NA,NA,0.360728660197417,NA,NA,-0.148557063672636,-3.56761133343499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRG_ER_FFAT_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRG_ER_HDEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208722501977168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRG_FG,NA,NA,NA,NA,NA,NA,NA,NA,1.4876499798434E-05,NA,NA,NA,0.967227513687971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRG_Golgi_diPhe_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRG_MITOCHONDRIA,-1.72801197149751,NA,NA,NA,NA,-1.53045121271431,NA,-0.522387793971281,3.98760532714581E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983521360273678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRG_NLS_MonoExtN_4,NA,NA,-2.49095556722135,NA,NA,0.359679315298285,NA,NA,NA,NA,NA,NA,NA,5.36873529896677,-2.18500693889149,-0.21141403494507,-2.1154111262579,NA,NA,-3.18930640811002,-2.45009404999889,NA,NA,-3.18373898375106,NA,-2.85900896807504,NA,-2.51744186886519,NA,3.60512905040852,NA,NA,NA
