idr_name,NAME,"GO:0005654,nucleoplasm","GO:0005730,nucleolus","GO:0005739,mitochondrion","GO:0005740,mitochondrial envelope","GO:0005741,mitochondrial outer membrane","GO:0005758,mitochondrial intermembrane space","GO:0031966,mitochondrial membrane","GO:0035556,intracellular signal transduction","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098798,mitochondrial protein complex","GO:0098799,outer mitochondrial membrane protein complex"
YBR033W_idr_4,EDS1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR033W_idr_7,EDS1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR033W_idr_8,EDS1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR037C_idr_1,SCO1,0,0,1,0,0,0,1,0,0,0,0,0,0
YBR038W_idr_1,CHS2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR039W_idr_1,ATP3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR041W_idr_1,FAT1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR042C_idr_1,CST26,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR043C_idr_1,QDR3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR043C_idr_2,QDR3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR045C_idr_9,GIP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR049C_idr_1,REB1,1,0,0,0,0,0,0,0,0,0,0,0,0
YBR049C_idr_2,REB1,1,0,0,0,0,0,0,0,0,0,0,0,0
YBR054W_idr_4,YRO2,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR055C_idr_3,PRP6,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR055C_idr_8,PRP6,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR059C_idr_2,AKL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR060C_idr_1,ORC2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR065C_idr_2,ECM2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR065C_idr_4,ECM2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR068C_idr_1,BAP2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR069C_idr_1,TAT1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR073W_idr_2,RDH54,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR073W_idr_7,RDH54,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR073W_idr_8,RDH54,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR073W_idr_9,RDH54,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR074W_idr_1,PFF1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR074W_idr_2,PFF1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR078W_idr_2,ECM33,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR079C_idr_3,RPG1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR079C_idr_6,RPG1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR079C_idr_8,RPG1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR081C_idr_10,SPT7,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR081C_idr_11,SPT7,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR081C_idr_6,SPT7,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR081C_idr_7,SPT7,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR081C_idr_8,SPT7,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR081C_idr_9,SPT7,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR083W_idr_5,TEC1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR086C_idr_8,IST2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR089C-A_idr_1,NHP6B,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR095C_idr_5,RXT2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR095C_idr_7,RXT2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR097W_idr_13,VPS15,0,0,1,0,0,0,0,1,0,0,0,0,0
YBR097W_idr_2,VPS15,0,0,1,0,0,0,0,1,0,0,0,0,0
YBR097W_idr_7,VPS15,0,0,1,0,0,0,0,1,0,0,0,0,0
YBR097W_idr_9,VPS15,0,0,1,0,0,0,0,1,0,0,0,0,0
YBR098W_idr_5,MMS4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR098W_idr_6,MMS4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR102C_idr_1,EXO84,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR102C_idr_2,EXO84,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR102C_idr_3,EXO84,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR105C_idr_1,VID24,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR108W_idr_2,AIM3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR108W_idr_4,AIM3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR112C_idr_2,CYC8,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR114W_idr_1,RAD16,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR115C_idr_2,LYS2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR122C_idr_2,MRPL36,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR123C_idr_5,TFC1,1,0,0,0,0,0,0,0,0,0,0,0,0
YBR129C_idr_4,OPY1,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR130C_idr_6,SHE3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR131W_idr_2,CCZ1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR131W_idr_3,CCZ1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR132C_idr_1,AGP2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR133C_idr_12,HSL7,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR136W_idr_25,MEC1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR138C_idr_10,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR138C_idr_6,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR139W_idr_1,ATG42,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR140C_idr_11,IRA1,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR140C_idr_2,IRA1,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR140C_idr_25,IRA1,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR140C_idr_26,IRA1,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR140C_idr_30,IRA1,0,0,1,0,0,0,0,0,0,0,0,0,0
